cafe_id,디저트,다양한 메뉴,특별한 메뉴,쾌적한 매장,야외 배경,주차,대화,집중,트렌디,독특,"선물, 포장",액티비티
206,2.0930232558139537,1.0,1.4465116279069767,1.0,1.3534883720930233,1.1674418604651162,1.2976744186046512,1.1255813953488372,2.516279069767442,1.0,1.0,1.0
207,1.7837837837837838,1.0,1.2972972972972974,1.0,2.0810810810810807,1.0,1.4054054054054053,1.2432432432432432,2.189189189189189,1.0,1.0,1.0
208,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
209,3.08,1.0,1.0,1.0,1.0,1.0,1.0,2.92,1.0,1.0,1.0,1.0
210,2.081081081081081,1.0,1.0,1.0,1.0,1.0,1.6486486486486487,1.1081081081081081,3.1621621621621623,1.0,1.0,1.0
212,2.548387096774194,1.0,1.903225806451613,1.0,1.2580645161290323,1.2580645161290323,1.129032258064516,1.129032258064516,1.774193548387097,1.0,1.0,1.0
214,2.8536585365853657,1.0,1.975609756097561,1.0,1.0,1.0,1.0,1.0,2.1707317073170733,1.0,1.0,1.0
217,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,2.3422818791946307,1.0,1.9395973154362416,1.0,1.1073825503355705,1.0268456375838926,1.2953020134228188,1.0805369127516777,2.208053691275168,1.0,1.0,1.0
219,1.8695652173913042,1.0,1.4057971014492754,1.0,1.0,1.0579710144927537,1.5797101449275361,1.1159420289855073,2.971014492753623,1.0,1.0,1.0
220,2.018181818181818,1.0,1.8727272727272728,1.0,1.1454545454545455,1.1454545454545455,1.9090909090909092,1.509090909090909,1.4,1.0,1.0,1.0
221,2.2075471698113205,1.0,1.150943396226415,1.0,1.6037735849056602,1.0,1.4528301886792452,1.2264150943396226,2.3584905660377355,1.0,1.0,1.0
222,3.1818181818181817,1.0,1.8218181818181818,1.0,1.0581818181818181,1.029090909090909,1.261818181818182,1.050909090909091,1.5890909090909093,1.0,1.0172727272727273,1.0
223,1.727272727272727,1.0,1.1818181818181819,1.0,1.0909090909090908,1.0,2.2727272727272725,2.0,1.727272727272727,1.0,1.0,1.0
224,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.96,3.24,1.0,1.0,1.0
225,2.1,1.0,1.125,1.0,1.05,1.475,1.9500000000000002,1.5250000000000001,1.7750000000000001,1.0,1.0,1.0
226,1.6,1.0,1.3,1.0,1.2,1.0,2.1,1.2,2.6,1.0,1.0,1.0
227,2.325648414985591,1.0,1.4265129682997117,1.0,1.080691642651297,1.0115273775216138,1.6109510086455332,1.219020172910663,2.325648414985591,1.0,1.0,1.0
228,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
229,1.8639999999999999,1.0,1.224,1.0,1.16,1.032,1.704,1.32,2.6959999999999997,1.0,1.0,1.0
230,2.4054054054054053,1.0,2.081081081081081,1.0,1.0,1.0,1.2162162162162162,1.0,2.2972972972972974,1.0,1.0,1.0
232,3.2819956616052064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.718004338394794,1.0,1.0,1.0
233,2.8556701030927836,1.0,1.536082474226804,1.0,1.0,1.0329896907216496,1.4371134020618557,1.1154639175257732,2.022680412371134,1.0,1.0,1.0
234,2.073170731707317,1.0,1.3902439024390245,1.0,1.0975609756097562,1.1951219512195121,1.2926829268292683,1.2926829268292683,2.658536585365854,1.0,1.0,1.0
236,1.7761194029850746,1.0,1.1194029850746268,1.0,1.0597014925373134,1.0895522388059702,2.074626865671642,2.4029850746268657,1.4776119402985075,1.0,1.0,1.0
237,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
238,1.3265306122448979,1.0,1.1224489795918366,1.0,1.3673469387755102,1.3265306122448979,2.510204081632653,1.9387755102040818,1.4081632653061225,1.0,1.0,1.0
240,1.9523809523809523,1.0,1.7619047619047619,1.0,1.0952380952380951,1.0,1.380952380952381,1.1904761904761905,2.6190476190476186,1.0,1.0,1.0
